SignalID,Timestamp,EventCode,EventParam
63082004,2023-03-13 22:37:34.0000000,10,6
63082004,2023-03-13 22:37:36.0000000,1,4
63082004,2023-03-13 22:37:36.0000000,1,8
63082004,2023-03-13 22:37:46.0000000,8,4
63082004,2023-03-13 22:37:46.0000000,8,8
63082004,2023-03-13 22:37:50.0000000,10,4
63082004,2023-03-13 22:37:50.0000000,10,8
63082004,2023-03-13 22:37:51.0000000,1,2
63082004,2023-03-13 22:37:51.0000000,1,6
63082004,2023-03-13 22:38:16.0000000,8,2
63082004,2023-03-13 22:38:16.0000000,8,6
63082004,2023-03-13 22:38:20.0000000,10,2
63082004,2023-03-13 22:38:20.0000000,10,6
63082004,2023-03-13 22:38:22.0000000,1,4
63082004,2023-03-13 22:38:22.0000000,1,7
63082004,2023-03-13 22:38:32.0000000,8,7
63082004,2023-03-13 22:38:36.0000000,10,7
63082004,2023-03-13 22:38:37.0000000,1,8
63082004,2023-03-13 22:38:47.0000000,8,4
63082004,2023-03-13 22:38:47.0000000,8,8
63082004,2023-03-13 22:38:50.0000000,10,4
63082004,2023-03-13 22:38:50.0000000,10,8
63082004,2023-03-13 22:38:51.0000000,1,2
63082004,2023-03-13 22:38:51.0000000,1,6
63082004,2023-03-13 22:42:08.0000000,8,2
63082004,2023-03-13 22:42:08.0000000,8,6
63082004,2023-03-13 22:42:12.0000000,10,2
63082004,2023-03-13 22:42:12.0000000,10,6
63082004,2023-03-13 22:42:14.0000000,1,4
63082004,2023-03-13 22:42:14.0000000,1,8
63082004,2023-03-13 22:42:24.0000000,8,4
63082004,2023-03-13 22:42:24.0000000,8,8
63082004,2023-03-13 22:42:28.0000000,10,4
63082004,2023-03-13 22:42:28.0000000,10,8
63082004,2023-03-13 22:42:29.0000000,1,2
63082004,2023-03-13 22:42:29.0000000,1,6
63082004,2023-03-13 22:45:48.0000000,8,2
63082004,2023-03-13 22:45:48.0000000,8,6
63082004,2023-03-13 22:45:52.0000000,10,2
63082004,2023-03-13 22:45:52.0000000,10,6
63082004,2023-03-13 22:45:54.0000000,1,4
63082004,2023-03-13 22:45:54.0000000,1,8
63082004,2023-03-13 22:46:04.0000000,8,4
63082004,2023-03-13 22:46:04.0000000,8,8
63082004,2023-03-13 22:46:08.0000000,10,4
63082004,2023-03-13 22:46:08.0000000,10,8
63082004,2023-03-13 22:46:09.0000000,1,2
63082004,2023-03-13 22:46:09.0000000,1,6
63082004,2023-03-13 22:47:46.0000000,8,2
63082004,2023-03-13 22:47:46.0000000,8,6
63082004,2023-03-13 22:47:51.0000000,10,2
63082004,2023-03-13 22:47:51.0000000,10,6
63082004,2023-03-13 22:47:53.0000000,1,4
63082004,2023-03-13 22:47:53.0000000,1,7
63082004,2023-03-13 22:48:03.0000000,8,4
63082004,2023-03-13 22:48:03.0000000,8,7
63082004,2023-03-13 22:48:06.0000000,10,4
63082004,2023-03-13 22:48:06.0000000,10,7
63082004,2023-03-13 22:48:07.0000000,1,2
63082004,2023-03-13 22:48:07.0000000,1,6
63082004,2023-03-13 22:48:39.0000000,8,2
63082004,2023-03-13 22:48:39.0000000,8,6
63082004,2023-03-13 22:48:43.0000000,10,2
63082004,2023-03-13 22:48:43.0000000,10,6
63082004,2023-03-13 22:48:45.0000000,1,3
63082004,2023-03-13 22:48:45.0000000,1,8
63082004,2023-03-13 22:48:55.0000000,8,3
63082004,2023-03-13 22:48:55.0000000,8,8
63082004,2023-03-13 22:48:59.0000000,10,3
63082004,2023-03-13 22:48:59.0000000,10,8
63082004,2023-03-13 22:49:00.0000000,1,2
63082004,2023-03-13 22:49:00.0000000,1,6
63082004,2023-03-13 22:50:12.0000000,8,2
63082004,2023-03-13 22:50:12.0000000,8,6
63082004,2023-03-13 22:50:17.0000000,10,2
63082004,2023-03-13 22:50:17.0000000,10,6
63082004,2023-03-13 22:50:19.0000000,1,3
63082004,2023-03-13 22:50:19.0000000,1,8
63082004,2023-03-13 22:50:29.0000000,8,3
63082004,2023-03-13 22:50:29.0000000,8,8
63082004,2023-03-13 22:50:32.0000000,10,3
63082004,2023-03-13 22:50:32.0000000,10,8
63082004,2023-03-13 22:50:33.0000000,1,2
63082004,2023-03-13 22:50:33.0000000,1,6
63082004,2023-03-13 22:50:58.0000000,8,2
63082004,2023-03-13 22:50:58.0000000,8,6
63082004,2023-03-13 22:51:03.0000000,10,2
63082004,2023-03-13 22:51:03.0000000,10,6
63082004,2023-03-13 22:51:05.0000000,1,4
63082004,2023-03-13 22:51:05.0000000,1,7
63082004,2023-03-13 22:51:15.0000000,8,4
63082004,2023-03-13 22:51:15.0000000,8,7
63082004,2023-03-13 22:51:19.0000000,10,4
63082004,2023-03-13 22:51:19.0000000,10,7
63082004,2023-03-13 22:51:20.0000000,1,2
63082004,2023-03-13 22:51:20.0000000,1,6
63082004,2023-03-13 22:51:45.0000000,8,2
63082004,2023-03-13 22:51:45.0000000,8,6
63082004,2023-03-13 22:51:49.0000000,10,2
63082004,2023-03-13 22:51:49.0000000,10,6
63082004,2023-03-13 22:51:51.0000000,1,4
63082004,2023-03-13 22:51:51.0000000,1,8
63082004,2023-03-13 22:52:01.0000000,8,4
63082004,2023-03-13 22:52:01.0000000,8,8
63082004,2023-03-13 22:52:05.0000000,10,4
63082004,2023-03-13 22:52:05.0000000,10,8
63082004,2023-03-13 22:52:06.0000000,1,2
63082004,2023-03-13 22:52:06.0000000,1,6
63082004,2023-03-13 22:52:44.0000000,8,2
63082004,2023-03-13 22:52:44.0000000,8,6
63082004,2023-03-13 22:52:49.0000000,10,2
63082004,2023-03-13 22:52:49.0000000,10,6
63082004,2023-03-13 22:52:51.0000000,1,4
63082004,2023-03-13 22:52:51.0000000,1,8
63082004,2023-03-13 22:53:01.0000000,8,4
63082004,2023-03-13 22:53:01.0000000,8,8
63082004,2023-03-13 22:53:04.0000000,10,4
63082004,2023-03-13 22:53:04.0000000,10,8
63082004,2023-03-13 22:53:05.0000000,1,2
63082004,2023-03-13 22:53:05.0000000,1,6
63082004,2023-03-13 22:53:36.0000000,8,2
63082004,2023-03-13 22:53:36.0000000,8,6
63082004,2023-03-13 22:53:41.0000000,10,2
63082004,2023-03-13 22:53:41.0000000,10,6
63082004,2023-03-13 22:53:43.0000000,1,3
63082004,2023-03-13 22:53:43.0000000,1,8
63082004,2023-03-13 22:53:53.0000000,8,3
63082004,2023-03-13 22:53:53.0000000,8,8
63082004,2023-03-13 22:53:56.0000000,10,3
63082004,2023-03-13 22:53:56.0000000,10,8
63082004,2023-03-13 22:53:57.0000000,1,2
63082004,2023-03-13 22:53:57.0000000,1,6
63082004,2023-03-13 22:54:26.0000000,8,2
63082004,2023-03-13 22:54:26.0000000,8,6
63082004,2023-03-13 22:54:30.0000000,10,2
63082004,2023-03-13 22:54:30.0000000,10,6
63082004,2023-03-13 22:54:32.0000000,1,4
63082004,2023-03-13 22:54:32.0000000,1,7
63082004,2023-03-13 22:54:42.0000000,8,7
63082004,2023-03-13 22:54:46.0000000,10,7
63082004,2023-03-13 22:54:47.0000000,1,8
63082004,2023-03-13 22:54:57.0000000,8,4
63082004,2023-03-13 22:54:57.0000000,8,8
63082004,2023-03-13 22:55:00.0000000,10,4
63082004,2023-03-13 22:55:00.0000000,10,8
63082004,2023-03-13 22:55:01.0000000,1,1
63082004,2023-03-13 22:55:01.0000000,1,6
63082004,2023-03-13 22:55:14.0000000,8,1
63082004,2023-03-13 22:55:18.0000000,10,1
63082004,2023-03-13 22:55:19.0000000,1,2
63082004,2023-03-13 22:55:44.0000000,8,2
63082004,2023-03-13 22:55:44.0000000,8,6
63082004,2023-03-13 22:55:48.0000000,10,2
63082004,2023-03-13 22:55:48.0000000,10,6
63082004,2023-03-13 22:55:50.0000000,1,3
63082004,2023-03-13 22:55:50.0000000,1,8
63082004,2023-03-13 22:56:00.0000000,8,3
63082004,2023-03-13 22:56:00.0000000,8,8
63082004,2023-03-13 22:56:04.0000000,10,3
63082004,2023-03-13 22:56:04.0000000,10,8
63082004,2023-03-13 22:56:05.0000000,1,2
63082004,2023-03-13 22:56:05.0000000,1,5
63082004,2023-03-13 22:56:11.0000000,8,5
63082004,2023-03-13 22:56:14.0000000,10,5
63082004,2023-03-13 22:56:15.0000000,1,6
63082004,2023-03-13 22:56:52.0000000,8,2
63082004,2023-03-13 22:56:52.0000000,8,6
63082004,2023-03-13 22:56:56.0000000,10,2
63082004,2023-03-13 22:56:56.0000000,10,6
63082004,2023-03-13 22:56:58.0000000,1,4
63082004,2023-03-13 22:56:58.0000000,1,8
63082004,2023-03-13 22:57:08.0000000,8,4
